Model,Dataset,Seed,Data_Fraction,Accuracy,Macro_F1,Train_Time,Infer_Time,Num_Params
RoBERTa,AG News,123,0.25,0.939078947368421,0.9390569453248548,783.5835525989532,8.381020069122314,124648708.0
TF-IDF + LogReg,AG News,456,0.25,0.8982894736842105,0.8980125066082918,35.638877630233765,0.003913164138793945,
TF-IDF + SVM,AG News,456,0.25,0.905,0.9047827416428373,16.66455340385437,0.002956390380859375,
TextCNN,AG News,456,0.25,0.8694736842105263,0.8691004634187915,16.959065198898315,0.16042876243591309,3995104.0
DistilBERT,AG News,456,0.25,0.9294736842105263,0.9295693547390287,425.1441535949707,4.786319732666016,66956548.0
RoBERTa,AG News,456,0.25,0.9405263157894737,0.9405223165121842,781.6453132629395,8.308335304260254,124648708.0
TF-IDF + LogReg,AG News,42,0.1,0.8853947368421052,0.8850616405416188,22.58989953994751,0.003800630569458008,
TF-IDF + SVM,AG News,42,0.1,0.89,0.8896043678654552,9.33176326751709,0.0026514530181884766,
TextCNN,AG News,42,0.1,0.8417105263157895,0.841834610693444,11.117977619171143,0.16087746620178223,3995104.0
DistilBERT,AG News,42,0.1,0.9198684210526316,0.9197528196811731,195.95965433120728,4.711427450180054,66956548.0
RoBERTa,AG News,42,0.1,0.9285526315789474,0.928533733035967,359.6178891658783,8.258800506591797,124648708.0
SetFit,AG News,42,0.1,0.9157894736842105,0.9157845200067094,1331.0446996688843,2.6176509857177734,22713216.0
TF-IDF + LogReg,AG News,123,0.1,0.8914473684210527,0.8910138224574476,22.4089937210083,0.004242658615112305,
TF-IDF + SVM,AG News,123,0.1,0.8961842105263158,0.8957081921045618,9.164225578308105,0.002847909927368164,
TextCNN,AG News,123,0.1,0.8505263157894737,0.8501533416635709,9.980511903762817,0.15893983840942383,3995104.0
DistilBERT,AG News,123,0.1,0.9218421052631579,0.9218079597269143,221.76718950271606,4.706473112106323,66956548.0
RoBERTa,AG News,123,0.1,0.93,0.9298868113153923,362.19748973846436,8.261255025863647,124648708.0
SetFit,AG News,123,0.1,0.915921052631579,0.9158171987758215,1332.8656458854675,2.618110179901123,22713216.0
TF-IDF + LogReg,AG News,456,0.1,0.8871052631578947,0.8867599981115424,19.18182682991028,0.0025315284729003906,
TF-IDF + SVM,AG News,456,0.1,0.8918421052631579,0.8914650601753723,9.099609613418579,0.0028264522552490234,
TextCNN,AG News,456,0.1,0.841842105263158,0.8426475853499295,10.05566120147705,0.16105294227600098,3995104.0
DistilBERT,AG News,456,0.1,0.9189473684210526,0.9187315739461682,223.6586458683014,4.790194988250732,66956548.0
RoBERTa,AG News,456,0.1,0.9342105263157895,0.93412926157534,363.75397753715515,8.29568600654602,124648708.0
SetFit,AG News,456,0.1,0.9119736842105263,0.9118210402545905,1335.6069946289062,2.5932748317718506,22713216.0
TF-IDF + LogReg,AG News,42,0.05,0.878421052631579,0.8778994201748458,18.43617844581604,0.0035190582275390625,
TF-IDF + SVM,AG News,42,0.05,0.8794736842105263,0.8789008929572629,6.363842010498047,0.002472400665283203,
TextCNN,AG News,42,0.05,0.8069736842105263,0.8064557422962377,7.249500036239624,0.16451263427734375,3709024.0
DistilBERT,AG News,42,0.05,0.9102631578947369,0.9101887008954485,149.06862425804138,4.7785162925720215,66956548.0
RoBERTa,AG News,42,0.05,0.9260526315789473,0.9260053163274625,225.57635855674744,8.299745559692383,124648708.0
SetFit,AG News,42,0.05,0.906578947368421,0.9065942606895017,622.7389106750488,2.6001102924346924,22713216.0
TF-IDF + LogReg,AG News,123,0.05,0.8780263157894737,0.8775191674551979,15.880101203918457,0.0035936832427978516,
TF-IDF + SVM,AG News,123,0.05,0.8814473684210526,0.8809122925900869,6.5545525550842285,0.002491474151611328,
TextCNN,AG News,123,0.05,0.8006578947368421,0.8007847060427987,7.225961446762085,0.164154052734375,3708128.0
DistilBERT,AG News,123,0.05,0.910921052631579,0.9108457018486015,127.80402112007141,4.750014543533325,66956548.0
RoBERTa,AG News,123,0.05,0.9184210526315789,0.918350377383623,225.8798451423645,8.292135238647461,124648708.0
SetFit,AG News,123,0.05,0.9106578947368421,0.9105053556570475,617.2263824939728,2.595852851867676,22713216.0
TF-IDF + LogReg,AG News,456,0.05,0.8796052631578948,0.8791082644166086,18.39582395553589,0.0036733150482177734,
TF-IDF + SVM,AG News,456,0.05,0.8821052631578947,0.8815660500547545,6.484888315200806,0.0026924610137939453,
TextCNN,AG News,456,0.05,0.7976315789473685,0.7968465529284109,7.233439683914185,0.16291069984436035,3668576.0
DistilBERT,AG News,456,0.05,0.9103947368421053,0.9102734775626483,130.72775959968567,4.7687647342681885,66956548.0
RoBERTa,AG News,456,0.05,0.921578947368421,0.9213687011589631,225.77891445159912,8.251529455184937,124648708.0
SetFit,AG News,456,0.05,0.9036842105263158,0.903470493158863,623.5748434066772,2.6358585357666016,22713216.0
TF-IDF + LogReg,AG News,42,0.01,0.8353947368421053,0.8343260260347642,12.163201093673706,0.004690885543823242,
TF-IDF + SVM,AG News,42,0.01,0.8376315789473684,0.836425643152034,4.035073518753052,0.0019555091857910156,
TextCNN,AG News,42,0.01,0.6222368421052632,0.6185191188725618,4.997612953186035,0.16363978385925293,1458016.0
DistilBERT,AG News,42,0.01,0.8926315789473684,0.8926092102141346,70.77996969223022,4.763383150100708,66956548.0
RoBERTa,AG News,42,0.01,0.9031578947368422,0.9031990823620114,117.57564949989319,8.261900663375854,124648708.0
SetFit,AG News,42,0.01,0.8771052631578947,0.8770749008964118,116.77671098709106,2.6260831356048584,22713216.0
TF-IDF + LogReg,AG News,123,0.01,0.8430263157894737,0.8419837706829132,10.863150835037231,0.0017085075378417969,
TF-IDF + SVM,AG News,123,0.01,0.8430263157894737,0.841902223316097,3.46760630607605,0.001438140869140625,
TextCNN,AG News,123,0.01,0.6328947368421053,0.6241999431050045,4.9179277420043945,0.16057968139648438,1444064.0
DistilBERT,AG News,123,0.01,0.8888157894736842,0.8884601441532886,65.08504033088684,4.760358810424805,66956548.0
RoBERTa,AG News,123,0.01,0.9017105263157895,0.9012538423133432,116.47495436668396,8.273730754852295,124648708.0
SetFit,AG News,123,0.01,0.8930263157894737,0.8929619958657816,115.82205057144165,2.5875983238220215,22713216.0
TF-IDF + LogReg,AG News,456,0.01,0.8393421052631579,0.8383703269545246,10.684666156768799,0.0017304420471191406,
TF-IDF + SVM,AG News,456,0.01,0.8405263157894737,0.8394658590818513,4.025434255599976,0.0021390914916992188,
TextCNN,AG News,456,0.01,0.6535526315789474,0.65515956902646,4.892574310302734,0.15867972373962402,1484256.0
DistilBERT,AG News,456,0.01,0.8925,0.8925562888968626,64.75028014183044,4.712187767028809,66956548.0
